"Level";"Place0";"Place1";"Place2";"Longitude";"Latitude";"Zoom";"Icon"
2;"Switzerland";"Zürich (ZH)";"Lindau";"E8.67064";"N47.44186";;
2;"Switzerland";"Zürich (ZH)";"Tagelswangen";"E8.67184";"N47.43041";;
2;"Switzerland";"Zürich (ZH)";"Pfäffikon ZH";"E8.78110";"N47.36522";;
2;"Switzerland";"Zürich (ZH)";"Auslikon";"E8.80690";"N47.34550";;
2;"Switzerland";"Zürich (ZH)";"Madetswil";"E8.79143";"N47.41016";;
2;"Switzerland";"Zürich (ZH)";"Gündisau";"E8.80744";"N47.39802";;
2;"Switzerland";"Zürich (ZH)";"Russikon";"E8.77379";"N47.39620";;
2;"Switzerland";"Zürich (ZH)";"Rumlikon";"E8.75972";"N47.40929";;
2;"Switzerland";"Zürich (ZH)";"Weisslingen";"E8.76512";"N47.43343";;
2;"Switzerland";"Zürich (ZH)";"Neschwil";"E8.78823";"N47.43020";;
2;"Switzerland";"Zürich (ZH)";"Theilingen";"E8.76777";"N47.42111";;
2;"Switzerland";"Zürich (ZH)";"Wila";"E8.84583";"N47.41941";;
2;"Switzerland";"Zürich (ZH)";"Wildberg";"E8.81668";"N47.42751";;
2;"Switzerland";"Zürich (ZH)";"Schalchen";"E8.82621";"N47.40692";;
2;"Switzerland";"Zürich (ZH)";"Ehrikon";"E8.80902";"N47.41894";;
2;"Switzerland";"Zürich (ZH)";"Gockhausen";"E8.60247";"N47.38333";;
2;"Switzerland";"Zürich (ZH)";"Dübendorf";"E8.61805";"N47.39508";;
2;"Switzerland";"Zürich (ZH)";"Egg b. Zürich";"E8.69144";"N47.30065";;
2;"Switzerland";"Zürich (ZH)";"Hinteregg";"E8.68424";"N47.30594";;
2;"Switzerland";"Zürich (ZH)";"Esslingen";"E8.70964";"N47.28835";;
2;"Switzerland";"Zürich (ZH)";"Fällanden";"E8.63835";"N47.37052";;
2;"Switzerland";"Zürich (ZH)";"Pfaffhausen";"E8.62324";"N47.36573";;
2;"Switzerland";"Zürich (ZH)";"Benglen";"E8.63732";"N47.36117";;
2;"Switzerland";"Zürich (ZH)";"Greifensee";"E8.67698";"N47.36498";;
2;"Switzerland";"Zürich (ZH)";"Binz";"E8.62706";"N47.35674";;
2;"Switzerland";"Zürich (ZH)";"Ebmatingen";"E8.63997";"N47.35147";;
2;"Switzerland";"Zürich (ZH)";"Maur";"E8.67284";"N47.33780";;
2;"Switzerland";"Zürich (ZH)";"Mönchaltorf";"E8.72197";"N47.31015";;
2;"Switzerland";"Zürich (ZH)";"Schwerzenbach";"E8.65213";"N47.37979";;
2;"Switzerland";"Zürich (ZH)";"Nänikon";"E8.69338";"N47.37018";;
2;"Switzerland";"Zürich (ZH)";"Uster";"E8.71690";"N47.34585";;
2;"Switzerland";"Zürich (ZH)";"Sulzbach";"E8.74671";"N47.32896";;
2;"Switzerland";"Zürich (ZH)";"Wermatswil";"E8.74593";"N47.36210";;
2;"Switzerland";"Zürich (ZH)";"Freudwil";"E8.73409";"N47.37473";;
2;"Switzerland";"Zürich (ZH)";"Riedikon";"E8.71152";"N47.33252";;
2;"Switzerland";"Zürich (ZH)";"Volketswil";"E8.69142";"N47.38905";;
2;"Switzerland";"Zürich (ZH)";"Gutenswil";"E8.71798";"N47.38514";;
2;"Switzerland";"Zürich (ZH)";"Brüttisellen";"E8.62974";"N47.42322";;
2;"Switzerland";"Zürich (ZH)";"Wangen b. Dübendorf";"E8.64645";"N47.40946";;
2;"Switzerland";"Zürich (ZH)";"Altikon";"E8.78450";"N47.57524";;
2;"Switzerland";"Zürich (ZH)";"Brütten";"E8.67422";"N47.47408";;
